#Firmware: console20250221 firmware 20250309@3679800073 proteus MINIMAL_PINS 7291
PriLevel,SecLevel,Trigger,Sync,Time,ToothTime,coil,inj
Flag,Flag,Flag,Flag,ms,ms,Flag,Flag
1,0,0,1,2.0104318704E7,2.0104318704E7,1,1
0,0,0,1,2.010432129E7,2.586,1,1
1,0,0,1,2.0104324584E7,3.294,1,1
0,0,0,1,2.0104327388E7,2.804,1,1
1,0,0,1,2.0104331067E7,3.679,1,1
0,0,0,1,2.0104334197E7,3.13,1,1
1,0,0,1,2.010433853E7,4.333,1,1
0,0,0,1,2.0104342335E7,3.805,1,1
1,0,0,1,2.0104347879E7,5.544,1,1
0,0,0,1,2.010435283E7,4.951,1,1
1,0,0,1,2.0104360008E7,7.178,1,1
0,0,0,1,2.0104365936E7,5.928,1,1
1,0,0,1,2.0104373142E7,7.206,1,1
0,0,0,1,2.0104378572E7,5.43,1,1
1,0,0,1,2.0104384358E7,5.786,1,1
0,0,0,1,2.0104388737E7,4.379,1,1
1,0,0,1,2.0104393506E7,4.769,1,1
0,0,0,1,2.0104397238E7,3.732,1,1
1,0,0,1,2.0104401491E7,4.253,1,1
0,0,0,1,2.0104404901E7,3.41,1,1
1,0,0,1,2.0104408899E7,3.998,1,1
0,0,0,1,2.010441214E7,3.241,1,1
1,0,0,1,2.0104415999E7,3.859,1,1
0,0,0,1,2.0104419165E7,3.166,1,1
1,0,0,1,2.0104423007E7,3.842,1,1
0,0,0,1,2.0104426173E7,3.166,1,1
1,0,0,1,2.0104430037E7,3.864,1,1
0,0,0,1,2.0104433215E7,3.178,1,1
1,0,0,1,2.0104443323E7,10.108,1,1
0,0,0,1,2.01044479E7,4.577,1,1
1,0,0,1,2.0104452206E7,4.306,1,1
0,0,0,1,2.010445574E7,3.534,1,1
1,0,0,1,2.0104460351E7,4.611,1,1
0,0,0,1,2.0104464287E7,3.936,1,1
1,0,0,1,2.0104469606E7,5.319,1,1
0,0,0,1,2.0104474278E7,4.672,1,1
1,0,0,1,2.010448132E7,7.042,1,1
0,0,0,1,2.0104488308E7,6.988,0,1
1,0,0,1,2.0104513429E7,25.121,0,1
0,0,0,1,2.0104522668E7,9.239,0,1
1,0,0,1,2.0104532215E7,9.547,0,1
0,0,0,1,2.0104539056E7,6.841,0,1
1,0,0,1,2.0104545883E7,6.827,0,1
0,0,0,1,2.0104551203E7,5.32,0,1
1,0,0,1,2.0104557189E7,5.986,0,1
0,0,0,1,2.0104561992E7,4.803,0,1
1,0,0,1,2.0104567625E7,5.633,0,1
0,0,0,1,2.0104572204E7,4.579,0,1
1,0,0,1,2.0104586478E7,14.274,0,1
0,0,0,0,2.0104592813E7,6.335,0,1
1,0,0,0,2.0104598879E7,6.066,0,1
0,0,0,0,2.0104603888E7,5.009,0,1
1,0,0,0,2.0104610721E7,6.833,0,1
0,0,0,0,2.0104616705E7,5.984,0,1
1,0,0,0,2.0104625769E7,9.064,0,1
0,0,0,0,2.0104634885E7,9.116,0,1
1,0,0,0,2.0104662619E7,27.734,0,1
0,0,0,0,2.0104676136E7,13.517,0,1
1,0,0,0,2.0104690448E7,14.312,0,1
0,0,0,0,2.0104700609E7,10.161,0,1
1,0,0,0,2.010471116E7,10.551,0,1
0,0,0,0,2.0104719398E7,8.238,0,1
1,0,0,0,2.0104729193E7,9.795,0,1
0,0,0,0,2.0104737194E7,8.001,0,1
1,0,0,0,2.0104767506E7,30.312,0,1
0,0,0,1,2.010478529E7,17.784,0,1
0,0,1,1,2.0104792217E7,6.927,0,1
0,0,0,1,2.010479222E7,0.003,0,1
1,0,0,1,2.0104916286E7,124.066,0,1
0,0,0,1,2.0104957883E7,41.597,0,1
1,0,0,1,2.0177196086E7,72238.203,0,0
0,0,0,0,2.017719617E7,0.084,0,0
1,0,0,0,2.0177196424E7,0.254,0,0
0,0,0,0,2.0177196589E7,0.165,0,0
