#Firmware: console20250221 firmware N/A
PriLevel,SecLevel,Trigger,Sync,Time,ToothTime,coil,inj
Flag,Flag,Flag,Flag,ms,ms,Flag,Flag
1,0,0,0,75253.999,75253.999,0,0
0,0,0,0,75256.671,2.672,0,0
1,0,0,0,75258.299,1.628,0,0
0,0,0,0,75261.038,2.739,0,0
1,0,0,0,75262.68,1.642,0,0
0,0,0,0,75265.452,2.772,0,0
1,0,0,0,75267.129,1.677,0,0
0,0,0,0,75269.967,2.838,0,0
1,0,0,0,75271.658,1.691,0,0
0,0,0,0,75274.508,2.85,0,0
1,0,0,0,75276.258,1.75,0,0
0,0,0,0,75279.222,2.964,0,0
1,0,0,0,75281.012,1.79,0,0
0,0,0,0,75284.119,3.107,0,0
1,0,0,0,75285.974,1.855,0,0
0,0,0,0,75289.204,3.23,0,0
1,0,0,0,75291.155,1.951,0,0
0,0,0,0,75294.545,3.39,0,0
1,0,0,0,75296.607,2.062,0,0
0,0,0,0,75300.179,3.572,0,0
1,0,0,0,75302.321,2.142,0,0
0,0,0,0,75305.99,3.669,0,0
1,0,0,0,75308.162,2.172,0,0
0,0,0,0,75311.82,3.658,0,0
1,0,0,0,75313.989,2.169,0,0
0,0,0,0,75317.548,3.559,0,0
1,0,0,0,75319.638,2.09,0,0
0,0,0,0,75322.946,3.308,0,0
1,0,0,0,75324.885,1.939,0,0
0,0,0,0,75327.946,3.061,0,0
1,0,0,0,75329.739,1.793,0,0
0,0,0,0,75332.58,2.841,0,0
1,0,0,0,75334.238,1.658,0,0
0,0,0,0,75336.903,2.665,0,0
1,0,0,0,75338.487,1.584,0,0
0,0,0,0,75341.06,2.573,0,0
1,0,0,0,75342.584,1.524,0,0
0,0,0,0,75345.078,2.494,0,0
1,0,0,0,75346.535,1.457,0,0
0,0,0,0,75348.951,2.416,0,0
1,0,0,0,75350.394,1.443,0,0
0,0,0,0,75352.783,2.389,0,0
1,0,0,0,75354.202,1.419,0,0
0,0,0,0,75356.581,2.379,0,0
1,0,0,0,75357.987,1.406,0,0
0,0,0,0,75360.345,2.358,0,0
1,0,0,0,75361.759,1.414,0,0
0,0,0,0,75364.132,2.373,0,0
1,0,0,0,75365.547,1.415,0,0
0,0,0,0,75367.946,2.399,0,0
1,0,0,0,75369.367,1.421,0,0
0,0,0,0,75371.768,2.401,0,0
1,0,0,0,75373.194,1.426,0,0
0,0,0,0,75375.53,2.336,0,0
1,0,0,0,75376.913,1.383,0,0
0,0,0,0,75379.196,2.283,0,0
1,0,0,0,75380.566,1.37,0,0
0,0,0,0,75382.891,2.325,0,0
1,0,0,0,75384.277,1.386,0,0
0,0,0,0,75386.649,2.372,0,0
1,0,0,0,75388.064,1.415,0,0
0,0,0,0,75390.445,2.381,0,0
