#Firmware: console20250221 firmware N/A
PriLevel,SecLevel,Trigger,Sync,Time,ToothTime,coil,inj
Flag,Flag,Flag,Flag,ms,ms,Flag,Flag
0,0,0,0,2666710.898,2666710.898,0,0
1,0,0,0,2666713.977,3.079,0,0
0,0,0,0,2666716.579,2.602,0,0
1,0,0,0,2666719.66,3.081,0,0
0,0,0,0,2666722.269,2.609,0,0
1,0,0,0,2666725.385,3.116,0,0
0,0,0,0,2666728.016,2.631,0,0
1,0,0,0,2666731.188,3.172,0,0
0,0,0,0,2666733.878,2.69,0,0
1,0,0,0,2666737.175,3.297,0,0
0,0,0,0,2666739.972,2.797,0,0
1,0,0,0,2666743.492,3.52,0,0
0,0,0,0,2666746.46,2.968,0,0
1,0,0,0,2666750.293,3.833,0,0
0,0,0,0,2666753.558,3.265,0,0
1,0,0,0,2666757.957,4.399,0,0
0,0,0,0,2666761.851,3.894,0,0
1,0,0,0,2666767.79,5.939,0,0
0,0,0,0,2666773.559,5.769,0,0
1,0,0,0,2666798.675,25.116,0,0
0,0,0,0,2666806.691,8.016,0,0
1,0,0,0,2666814.287,7.596,0,0
0,0,0,0,2666819.808,5.521,0,0
1,0,0,0,2666825.296,5.488,0,0
0,0,0,0,2666829.628,4.332,0,0
1,0,0,0,2666834.416,4.788,0,0
0,0,0,0,2666838.296,3.88,0,0
1,0,0,0,2666842.798,4.502,0,0
0,0,0,0,2666846.501,3.703,0,0
1,0,0,0,2666850.912,4.411,0,0
0,0,0,0,2666854.557,3.645,0,0
1,0,0,0,2666858.958,4.401,0,0
0,0,0,0,2666862.655,3.697,0,0
1,0,0,0,2666867.198,4.543,0,0
0,0,0,0,2666871.029,3.831,0,0
1,0,0,0,2666875.855,4.826,0,0
0,0,0,0,2666879.963,4.108,0,0
1,0,0,0,2666885.304,5.341,0,0
0,0,0,0,2666889.991,4.687,0,0
1,0,0,0,2666896.6,6.609,0,0
0,0,0,0,2666902.758,6.158,0,0
1,0,0,0,2666944.421,41.663,0,0
0,0,0,0,2666952.685,8.264,0,0
1,0,0,0,2666961.227,8.542,0,0
0,0,0,0,2666967.593,6.366,0,0
1,0,0,0,2666974.448,6.855,0,0
0,0,0,0,2666979.868,5.42,0,0
1,0,0,0,2666986.191,6.323,0,0
0,0,0,0,2666991.299,5.108,0,0
1,0,0,0,2666997.552,6.253,0,0
0,0,0,0,2667002.676,5.124,0,0
1,0,0,0,2667009.172,6.496,0,0
0,0,0,0,2667014.611,5.439,0,0
1,0,0,0,2667021.832,7.221,0,0
0,0,0,0,2667028.094,6.262,0,0
1,0,0,0,2667037.399,9.305,0,0
0,0,0,0,2667046.225,8.826,0,0
1,0,0,0,2667083.404,37.179,0,0
0,0,0,0,2667095.64,12.236,0,0
1,0,0,0,2667108.594,12.954,0,0
0,0,0,0,2667118.074,9.48,0,0
1,0,0,0,2667128.009,9.935,0,0
0,0,0,0,2667135.949,7.94,0,0
1,0,0,0,2667145.335,9.386,0,0
0,0,0,0,2667153.251,7.916,0,0
1,0,0,0,2667163.349,10.098,0,0
0,0,0,0,2667172.104,8.755,0,0
1,0,0,0,2667184.732,12.628,0,0
0,0,0,0,2667197.398,12.666,0,0
1,0,0,0,2667242.178,44.78,0,0
0,0,0,0,2667258.055,15.877,0,0
1,0,0,0,2667279.385,21.33,0,0
0,0,0,0,2667295.049,15.664,0,0
1,0,0,0,2667313.467,18.418,0,0
0,0,0,0,2667329.533,16.066,0,0
1,0,0,0,2667363.113,33.58,0,0
0,0,0,0,2667383.48,20.367,0,0
1,0,0,0,2696062.379,28678.899,0,0
0,0,0,0,2696062.528,0.149,0,0
1,0,0,0,2696062.708,0.18,0,0
0,0,0,0,2696062.903,0.195,0,0
1,0,0,0,2696063.038,0.135,0,0
0,0,0,0,2696063.573,0.535,0,0
1,0,0,0,2696063.719,0.146,0,0
0,0,0,1,2696063.88,0.161,0,0
1,0,0,1,2696064.008,0.128,0,0
0,0,0,1,2696064.9,0.892,0,0
1,0,0,1,2696081.238,16.338,0,0
0,0,0,1,2696097.048,15.81,0,0
1,0,0,1,2696117.025,19.977,0,0
0,0,0,1,2696130.366,13.341,0,0
1,0,0,1,2696143.97,13.604,0,0
0,0,0,1,2696154.233,10.263,0,0
1,0,0,1,2696165.936,11.703,0,0
0,0,0,1,2696174.948,9.012,0,0
1,0,0,1,2696185.736,10.788,0,0
0,0,0,1,2696194.206,8.47,0,0
1,0,0,1,2696204.573,10.367,0,0
0,0,0,1,2696212.933,8.36,0,0
1,0,0,1,2696223.278,10.345,0,0
0,0,0,1,2696231.721,8.443,0,0
1,0,0,1,2696242.243,10.522,0,0
0,0,0,1,2696250.713,8.47,0,0
1,0,0,1,2696260.672,9.959,0,0
0,0,0,1,2696268.563,7.891,0,0
1,0,0,1,2696277.437,8.874,0,0
0,0,0,1,2696284.281,6.844,0,0
1,0,0,1,2696291.897,7.616,0,0
0,0,0,1,2696297.75,5.853,0,0
1,0,0,1,2696304.362,6.612,0,0
0,0,0,1,2696309.596,5.234,0,0
1,0,0,1,2696315.702,6.106,0,0
0,0,0,1,2696320.628,4.926,0,0
1,0,0,1,2696326.562,5.934,0,0
0,0,0,1,2696331.404,4.842,0,0
1,0,0,1,2696337.396,5.992,0,0
0,0,0,1,2696342.336,4.94,0,0
1,0,0,1,2696348.515,6.179,0,0
0,0,0,1,2696353.667,5.152,0,0
1,0,0,1,2696359.809,6.142,0,0
0,0,0,1,2696364.33,4.521,0,0
1,0,0,1,2696378.905,14.575,0,0
0,0,0,0,2696385.119,6.214,0,0
1,0,0,0,2696391.019,5.9,0,0
0,0,0,0,2696395.58,4.561,0,0
1,0,0,0,2696401.259,5.679,0,0
0,0,0,0,2696406.011,4.752,0,0
