#Firmware: console20250221 firmware 20250309@2421910608 proteus MINIMAL_PINS 5334
PriLevel,SecLevel,Trigger,Sync,Time,ToothTime,coil,inj
Flag,Flag,Flag,Flag,ms,ms,Flag,Flag
1,0,0,1,1039095.953,1039095.953,0,0
0,0,0,0,1039096.092,0.139,0,0
1,0,0,0,1039096.205,0.113,0,0
0,0,0,0,1039096.265,0.06,0,0
1,0,0,0,1039096.427,0.162,0,0
0,0,0,0,1039096.653,0.226,0,0
1,0,0,0,1039096.724,0.071,0,0
0,0,0,0,1039097.003,0.279,0,0
1,0,0,0,1039097.158,0.155,0,0
0,0,0,0,1039097.311,0.153,0,0
1,0,0,0,1039097.682,0.371,0,0
0,0,0,0,1039097.855,0.173,0,0
1,0,0,0,1039097.958,0.103,0,0
0,0,0,0,1039098.932,0.974,0,0
1,0,0,0,1039113.287,14.355,0,0
0,0,0,0,1039132.378,19.091,0,0
1,0,0,0,1039147.548,15.17,0,0
0,0,0,0,1039157.918,10.37,0,0
1,0,0,0,1039169.056,11.138,0,0
0,0,0,0,1039177.545,8.489,0,0
1,0,0,0,1039187.057,9.512,0,0
0,0,0,0,1039194.574,7.517,0,0
1,0,0,0,1039203.295,8.721,0,0
0,0,0,0,1039210.286,6.991,0,0
1,0,0,0,1039218.827,8.541,0,0
0,0,0,0,1039225.684,6.857,0,0
1,0,0,0,1039234.141,8.457,0,0
0,0,0,0,1039241.027,6.886,0,0
1,0,0,0,1039249.408,8.381,0,0
0,0,0,0,1039256.275,6.867,0,0
1,0,0,0,1039264.357,8.082,0,0
0,0,0,0,1039270.824,6.467,0,0
1,0,0,0,1039278.211,7.387,0,0
0,0,0,0,1039283.908,5.697,0,0
1,0,0,0,1039290.267,6.359,0,0
0,0,0,0,1039295.218,4.951,0,0
1,0,0,0,1039300.824,5.606,0,0
0,0,0,0,1039305.269,4.445,0,0
1,0,0,0,1039310.404,5.135,0,0
0,0,0,0,1039314.563,4.159,0,0
1,0,0,0,1039319.536,4.973,0,0
0,0,0,0,1039323.605,4.069,0,0
1,0,0,0,1039328.56,4.955,0,0
0,0,0,0,1039332.644,4.084,0,0
1,0,0,0,1039337.697,5.053,0,0
0,0,0,0,1039341.907,4.21,0,0
1,0,0,0,1039347.199,5.292,0,0
0,0,0,0,1039351.597,4.398,0,0
1,0,0,0,1039356.674,5.077,0,0
0,0,0,0,1039360.584,3.91,0,0
1,0,0,0,1039365.48,4.896,0,0
0,0,0,0,1039369.618,4.138,0,0
1,0,0,0,1039374.512,4.894,0,0
0,0,0,0,1039378.532,4.02,0,0
1,0,0,0,1039383.695,5.163,0,0
0,0,0,0,1039387.833,4.138,0,0
1,0,0,0,1039392.955,5.122,0,0
0,0,0,0,1039397.264,4.309,0,0
1,0,0,0,1039402.651,5.387,0,0
0,0,0,0,1039407.156,4.505,0,0
1,0,0,0,1039412.981,5.825,0,0
0,0,0,0,1039417.903,4.922,0,0
1,0,0,0,1039424.439,6.536,0,0
0,0,0,0,1039430.014,5.575,0,0
1,0,0,0,1039437.525,7.511,0,0
0,0,0,0,1039443.981,6.456,0,0
1,0,0,0,1039452.25,8.269,0,0
